number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
35,0.4422359758666605,2026-05-08 16:58:07.904748,2026-05-08 16:58:16.240585,0 days 00:00:08.335837,1.1845863509382264e-07,0.8472512098179925,0.04094293418309971,1.4155116882174976,3.2399447496539167,8,5,0.8000454709829288,COMPLETE
36,0.39834153356914526,2026-05-08 16:58:16.240585,2026-05-08 16:58:22.837664,0 days 00:00:06.597079,4.643508724771675e-08,0.9621473181056702,0.06233282072548954,0.7782422590900824,2.4448823245160733,8,7,0.6580330201558328,COMPLETE
37,0.3976636559397622,2026-05-08 16:58:22.837664,2026-05-08 16:58:39.698811,0 days 00:00:16.861147,4.411555681113565e-07,0.8402767149683588,0.011730803946562864,0.3729177024206286,4.8924989432325034,12,6,0.5195585902541805,COMPLETE
38,0.41084687960277283,2026-05-08 16:58:39.698811,2026-05-08 16:58:41.509495,0 days 00:00:01.810684,1.1004220721363492e-05,0.9974528654996868,0.15608472328282794,1.3223083494516112,0.4853633319021582,11,4,0.5732002119977041,COMPLETE
39,0.40277242915448036,2026-05-08 16:58:41.509495,2026-05-08 16:58:53.124156,0 days 00:00:11.614661,1.4703921435610147e-07,0.9001914553262782,0.015486223839801732,0.9082900426177202,0.27155573248719217,7,7,0.6972114002941054,COMPLETE
40,0.4472494907187291,2026-05-08 16:58:53.124156,2026-05-08 16:59:01.000854,0 days 00:00:07.876698,3.0831532947581546e-08,0.8089592758703755,0.049851782697380116,1.809631865913848,0.22174400432111702,10,5,0.7990737512559851,COMPLETE
41,0.38511371426524366,2026-05-08 16:59:01.000854,2026-05-08 16:59:16.855924,0 days 00:00:15.855070,9.654466476027302e-07,0.8656748672116803,0.01658571191277192,0.243485134323821,1.4901958992343147,10,9,0.7171781984108558,COMPLETE
42,0.3960160462495774,2026-05-08 16:59:16.855924,2026-05-08 16:59:28.256345,0 days 00:00:11.400421,3.6301390081826104e-06,0.8772750982121255,0.021738489953227587,0.6567142360253877,1.57318023205906,9,9,0.7220336133265207,COMPLETE
43,0.3750750714898593,2026-05-08 16:59:28.257761,2026-05-08 16:59:50.653318,0 days 00:00:22.395557,6.054788110523306e-07,0.8574639887376032,0.015900138015086163,0.2930387742892646,3.5953225803509405,12,6,0.6702146465579563,COMPLETE
44,0.3695513640283606,2026-05-08 16:59:50.653318,2026-05-08 17:00:11.672185,0 days 00:00:21.018867,7.394185569867677e-07,0.8657733515854409,0.015259058299435828,0.21075785971085115,3.70069105344129,12,6,0.7569844240053574,COMPLETE
45,0.5888816928734831,2026-05-08 17:00:11.672185,2026-05-08 17:00:20.484151,0 days 00:00:08.811966,2.1564878879337436e-08,0.8229331737029693,0.01059180777467029,4.335264324693403,7.656722455920525,12,6,0.6732485026433059,COMPLETE
46,0.3856021449303501,2026-05-08 17:00:20.484151,2026-05-08 17:00:33.149669,0 days 00:00:12.665518,2.4258037836061204e-07,0.7757711629511168,0.01363046543256399,0.7360163481116335,3.2560426823206012,12,3,0.7573569117261144,COMPLETE
47,0.37036318189644485,2026-05-08 17:00:33.151672,2026-05-08 17:00:45.296654,0 days 00:00:12.144982,0.00013947305374581524,0.8511952696983697,0.020041437534801046,0.28438031305285905,2.3617790250039716,12,6,0.7785177453210074,COMPLETE
48,0.3653901357701359,2026-05-08 17:00:45.296654,2026-05-08 17:00:55.541608,0 days 00:00:10.244954,0.00020398323051068753,0.6864152403100803,0.028908798412435707,0.22068838000394286,2.1457171458423128,12,6,0.7819892054939706,COMPLETE
49,0.34807043526752324,2026-05-08 17:00:55.541608,2026-05-08 17:01:02.435664,0 days 00:00:06.894056,0.00016324724534974838,0.6781109894536784,0.03017557444888367,0.2355235705466447,2.0859921117789915,12,3,0.8358629848868456,COMPLETE
